id,name,organization,title,doi,metadata_created,metadata_modified,license_title
e1d34c60-0d51-44a8-9967-0d3b6e9ef367,rdr-doi-10-35097-1346,radar,Code for dipole portal at dune,10.35097/1346,2023-08-04T08:50:35.055620,2023-08-04T09:29:05.860314,CC BY-SA 4.0 Attribution-ShareAlike
6ac99062-55c3-4d92-80df-2cfdcfb523d3,rdr-doi-10-35097-1347,radar,Auxiliary code for dune dipole code,10.35097/1347,2023-08-04T08:50:35.164668,2023-08-04T09:29:05.919138,CC BY-SA 4.0 Attribution-ShareAlike
4abc0520-bedf-44ed-b608-c6c7703cd56a,rdr-doi-10-35097-1348,radar,"Dataset for ""the effect of spanwise heterogeneous surfaces on mixed convection in turbulent channels""",10.35097/1348,2023-08-04T08:50:35.407539,2023-08-04T09:29:06.046480,CC BY-SA 4.0 Attribution-ShareAlike
f90ca232-1f62-460c-b5c6-e30902deb8fa,rdr-doi-10-35097-1349,radar,"Numerical experiments to ""high-frequency wave-propagation: error analysis for analytical and numerical approximations""",10.35097/1349,2023-08-04T08:50:35.528119,2023-08-04T09:29:06.104312,CC BY-SA 4.0 Attribution-ShareAlike
6a6d085e-0e5d-4af2-8e91-3dbe3679f09f,rdr-doi-10-35097-1350,radar,Software zur überprüfung von schutzzielen der informationssicherheit durch aufzeichnung und wiedergabe virtueller maschinen,10.35097/1350,2023-08-04T08:50:35.635338,2023-08-04T09:29:06.159137,Other
55fd45ab-1dfb-4338-b007-7bd7c585a664,rdr-doi-10-35097-1351,radar,"Numerical experiments to ""maximizing the electromagnetic chirality of thin metallic nanowires at optical frequencies""",10.35097/1351,2023-08-04T08:50:35.925064,2023-08-04T09:31:17.594271,CC BY-SA 4.0 Attribution-ShareAlike
15b435f7-42d6-41b6-b211-5710750f7a2e,rdr-doi-10-35097-1352,radar,"Numerical experiments to ""a unified error analysis for nonlinear wave-type equations with application to acoustic boundary conditions"" (version 3)",10.35097/1352,2023-08-04T08:50:35.773996,2023-08-04T09:04:12.619213,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
a9321a4b-851a-4a9a-9f47-7dc6e3ea27a2,rdr-doi-10-35097-1353,radar,"Research data to the article ""measurement of the filling degree and droplet size of individual double emulsion droplets using raman technologies""",10.35097/1353,2023-08-04T08:50:36.180081,2023-08-04T09:31:17.746070,CC BY-SA 4.0 Attribution-ShareAlike
ecf0371c-4f71-4101-aef5-a6af69360a5e,rdr-doi-10-35097-1354,radar,Cloud observing data of 85 stations in western central africa,10.35097/1354,2023-08-04T08:50:36.053497,2023-08-04T09:31:17.673941,CC BY 4.0 Attribution
be23b987-1cb7-4146-9b95-b25c053f7ff3,rdr-doi-10-35097-1355,radar,3d optomechanical metamaterials,10.35097/1355,2023-08-04T08:50:36.873130,2023-08-04T09:31:18.073197,CC BY 4.0 Attribution
